SAB,#AUIs,#CXNs,#trees
MSH,29451,20,8
SNMI,113425,1,1
MSHSWE,28938,20,8
MSHCZE,28938,20,7
MSHPOR,28938,20,8
MSHFIN,24768,19,8
MSHJPN,24873,20,8
NDFRT,45606,1,1
MSHPOL,28938,20,8
MSHFRE,28938,20,7
MSHGER,28938,20,7
MSHITA,28938,20,8
MSHRUS,28938,20,8
MSHSPA,28938,20,8
SNM,32444,2,0
LNC,115984,14,1
SNOMEDCT_US,346950,9839,1985
SCTSPA,341107,8824,991
RCD,201333,144,6
CSP,8914,12,5
PSY,5513,14,3
MSHSCR,8822,14,5
MSHNOR,20884,20,9
AOD,14284,1,1
CPM,3100,20,10
NCI,133951,295,44
MEDCIN,347027,1,1
ATC,6151,1,1
USPMG,1704,4,2
CST,1629,6,6
UWDA,62285,2706,3
OMIM,52347,7,4
FMA,104172,1,1
MSHLAV,1069,9,1
HL7V2.5,5020,2,2
ICD10,12319,1,1
ICD10AM,24824,1,1
MDR,25190,8,4
MDRITA,25190,8,5
MDRJPN,25190,8,4
MDRCZE,25190,8,4
KCD5,11002,1,1
ICD10CM,94833,1,1
MDRHUN,25190,8,4
MDRGER,25190,8,4
MDRPOR,25190,8,4
MDRSPA,25190,8,4
MDRDUT,25190,8,6
MDRFRE,25190,8,4
NOC,12160,1,1
ICPC,748,2,2
HPO,13503,200,24
ICPC2EENG,689,1,1
WHO,1755,6,4
CCS,1099,1,1
MEDLINEPLUS,1058,14,14
ICNP,1922,4,3
ICD9CM,22407,1,1
NCBI,1409764,1,1
CCS_10,372,1,1
PCDS,2175,1,1
MED-RT,3287,4,3
HL7V3.0,9464,14,3
AIR,627,10,6
GO,44971,2567,1083
CCC,401,2,1
PDQ,2007,8,4
UMD,12233,9,6
NIC,13496,26,26
ALT,4670,1,1
ICF,1496,1,1
ICF-CY,1727,1,1
OMS,424,1,1
CPT,13869,2,2
MTHHH,8233,1,1
CDT,799,1,1
NANDA-I,305,3,3
PNDS,262,5,4
ICD10PCS,190391,1,1
AOT,241,6,3
SOP,163,1,1
PPAC,381,1,1
TKMT,372,1,1
